species	m	sex	m_source	temp	l	linf	k	linf_k_source
Gadus morhua	1.1	C	Larsen & Pedersen(2002)	6	27.8	134	0.1	Beverton & Holt(1959)
Gadus morhua	0.2	C	Larsen & Pedersen(2002)	6	41.9	134	0.1	Beverton & Holt(1959)
Glaucosoma buergeri	0.14	C	Newman(2002a)	27	29.5	51.5	0.14	Newman(2002a)
Hippocampus guttulatus	1.22	C	Curtis & Vincent(2006)	18	14	19.8	0.57	Curtis & Vincent(2006)
Hippoglossoides platessoides	0.22	F	Pitt(1973)	3	43	59	0.08	Pitt(1973)
Hippoglossoides platessoides	0.23	F	Pitt(1973)	3	53	81.1	0.06	Pitt(1973)
Hippoglossoides platessoides	0.18	F	Pitt(1973)	5	54	60	0.07	Pitt(1973)
Hippoglossoides platessoides	0.18	F	Pitt(1973)	5	62	72.5	0.11	Pitt(1973)
Hippoglossoides platessoides	0.3	M	Pitt(1973)	8	37	42.6	0.1	Pitt(1973)
Hippoglossoides platessoides	0.25	M	Pitt(1973)	8	44	55.2	0.11	Pitt(1973)
Hippoglossoides platessoides	0.27	M	Pitt(1973)	6	49	50	0.09	Pitt(1973)
Hippoglossoides platessoides	0.26	M	Pitt(1973)	6	52	58.5	0.15	Pitt(1973)
Hippoglossoides platessoides	0.4	F	Bakken(1987)	3	11.7	85.5	0.04	Bakken(1987)
Hippoglossoides platessoides	0.13	F	Bakken(1987)	3	25.6	85.5	0.04	Bakken(1987)
Hippoglossoides platessoides	0.51	F	Bakken(1987)	3	44.7	85.5	0.04	Bakken(1987)
Hippoglossoides platessoides	0.4	M	Bakken(1987)	3	12.9	45	0.1	Bakken(1987)
Hippoglossoides platessoides	0.14	M	Bakken(1987)	3	25.2	45	0.1	Bakken(1987)
Hippoglossoides platessoides	0.75	M	Bakken(1987)	3	37	45	0.1	Bakken(1987)
Hippoglossus stenolepis	0.2	C	Chen & Xiao(2006)	5	75	144	0.18	Southward & Chapman(1965)
Hyporhamphus melanochir	0.53	M	Jones(1990)	20	34	36.7	0.51	Jones(1990)
Hyporhamphus melanochir	0.36	F	Jones(1990)	20	35.9	38.7	0.54	Jones(1990)
Katsuwonus pelamis	10	C	Hampton(2000)	25	25	65.1	1.3	Hampton(2000)
Katsuwonus pelamis	4.5	C	Hampton(2000)	25	35	65.1	1.3	Hampton(2000)
Katsuwonus pelamis	1.6	C	Hampton(2000)	25	45	65.1	1.3	Hampton(2000)
Katsuwonus pelamis	1.2	C	Hampton(2000)	25	55	65.1	1.3	Hampton(2000)
Katsuwonus pelamis	2	C	Hampton(2000)	25	65	65.1	1.3	Hampton(2000)
Lamna nasus	0.18	C	Aasen(1963)	7	189	280	0.12	Aasen(1963)
Lethrinus miniatus	0.44	C	Williams et al.(2007)	26	44	45.3	0.48	Williams et al.(2003)
Lethrinus miniatus	1.06	C	Williams et al.(2007)	26	45.8	47.2	0.43	Williams et al.(2003)
Lethrinus miniatus	0.57	C	Williams et al.(2007)	26	43.4	46.3	0.38	Williams et al.(2003)
Lopholatilus chamaeleontoceps	0.25	M	Harris & Grossman(1985)	10	74.5	92.2	0.09	Harris & Grossman(1985)
Lopholatilus chamaeleonticeps	0.25	F	Harris & Grossman(1985)	10	70.5	86.5	0.09	Harris & Grossman(1985)
Lutjanus adetii	0.24	C	Newman et al.(1996)	26	24.1	25.4	0.32	Newman et al.(1996)
Lutjanus carponotatus	0.2	C	Newman et al.(2000a)	26	28.7	31.3	0.45	Newman et al.(2000a)
Lutjanus erythropterus	0.15	C	Newman et al.(2000b)	26	51.7	58.5	0.38	Newman et al.(2000b)
Lutjanus griseus	0.18	C	Burton(2001)	25	54.3	71.6	0.17	Burton(2001)
Lutjanus malabaricus	0.11	C	Newman(2002b)	27	49.6	62.2	0.23	Newman(2002b)
Lutjanus malabaricus	0.13	C	Newman et al.(2000b)	26	59.1	72.8	0.29	Newman et al.(2000b)
Lutjanus quinquilineatus	0.15	C	Newman et al.(1996)	26	19.2	20.7	0.31	Newman et al.(1996)
Lutjanus ruselli	0.15	C	Newman(2002c)	27	36.4	38.6	0.35	Newman(2002c)
Lutjanus sebae	0.15	C	Newman et al.(2000b)	26	56.1	79.2	0.14	Newman et al.(2000b)
Lutjanus vitta	0.34	C	Newman et al.(2000a)	26	22.6	24.5	0.85	Newman et al.(2000a)
Melanogrammus aeglefinus	0.43	C	Jones & Shanks(1990)	9	33.3	58.1	0.24	Jones(1962)
Merluccius angustimanus	0.79	C	Mathews(1975)	20	25.2	32.7	0.35	Mathews(1975)
Merluccius angustimanus	0.84	C	Mathews(1975)	20	18.1	32.7	0.35	Mathews(1975)
Nemipterus japonicus	2.52	C	Vivekanandan & James(1986)	27	16	30.5	1	Vivekanandan & James(1986)
