species	lmax	amax
Otolithes ruber	62	NA
Otolithoides biauritus	NA	NA
Oxyporhamphus convexus	NA	NA
Oxyporhamphus micropterus micropterus	NA	NA
Pachymetopon aeneum	40	NA
Pachymetopon blochii	35	NA
Pachymetopon grande	70	NA
Pagellus acarne	36	7
Pagellus affinis	37	NA
Pagellus bellottii bellottii	30	NA
Pagellus bellottii natalensis	35	NA
Pagellus bogaraveo	53	NA
Pagellus erythrinus	33	NA
Pagrus caeruleostictus	39.6666666666667	NA
Pagrus major	NA	NA
Pagrus pagrus	55.3333333333333	NA
Pampus argenteus	NA	NA
Pampus chinensis	NA	NA
Pangasius pangasius	NA	NA
Papyrocranus afer	NA	NA
Parabramis pekinensis	NA	NA
Paracanthobrama guichenoti	NA	NA
Paralabrax clathratus	NA	NA
Paralichthys dentatus	NA	NA
Paralichthys lethostigma	NA	NA
Paranotothenia magellanica	NA	NA
Paranthias furcifer	36	NA
Parapercis colias	NA	NA
Parapercis hexophtalma	NA	NA
Parapristipoma trilineatum	NA	NA
Parascolopsis inermis	NA	NA
Parastromateus niger	NA	NA
Parexocoetus brachypterus	NA	NA
Parophrys vetula	NA	NA
Parupeneus barberinus	NA	NA
Patagonotothen ramsayi	NA	NA
Pellona ditchela	NA	NA
Pellonula leonensis	6.7	NA
Pempheris adspersus	NA	NA
Pennahia anea	NA	NA
Pennahia argentata	NA	NA
Pentanemus quinquarius	NA	NA
Pentaprion longimanus	NA	NA
Peprilus burti	19	NA
Peprilus triacanthus	NA	NA
Perca flavescens	NA	NA
Perca fluviatilis	NA	NA
Perca schrenkii	NA	NA
Periophthalmus barbarus	NA	NA
Petrocephalus bovei bovei	11	NA
Petrocephalus catostoma catostoma	NA	NA
Petromyzon marinus	83.8	NA
Petrus rupestris	NA	NA
Pharyngochromis darlingi	10	NA
Phoxinus phoxinus	NA	NA
Phycis blennoides	50	NA
Phycis phycis	NA	NA
Piaractus brachypomus	NA	NA
Plagioscion squamosissimus	50	NA
Platichthys bicoloratus	NA	NA
Platichthys flesus	52.5	12
Platichthys stellatus	NA	NA
Platycephalus bassensis	NA	NA
Platycephalus caeruleopunctatus	NA	NA
Platycephalus indicus	83.5	NA
Platycephalus richardsoni	62	NA
Platycephalus speculator	NA	NA
Plectorhinchus gibbosus	NA	NA
Plectorhinchus goldmanni	NA	NA
Plectorhinchus mediterraneus	NA	NA
Plectorhinchus nigrus	NA	NA
Plectorhinchus pictus	68.5	NA
Plectorhinchus picus	NA	NA
Plectropomus leopardus	120	14
Plectropomus maculatus	76	NA
Pleuragramma antarcticum	25	NA
Pleurogrammus monopterygius	NA	NA
Pleuronectes platessus	NA	30
Pleuronectes quadrituberculatus	NA	NA
Pleuronichthys cornutus	NA	NA
Plotosus lineatus	NA	NA
Pogonias cromis	NA	NA
Pollachius pollachius	NA	NA
Pollachius virens	NA	25
Polydactylus indicus	NA	NA
Polydactylus multiradiatus	NA	NA
Polydactylus quadrifilis	NA	NA
Polymixia yuri	18.8	NA
Polyodon spathula	152	30
Polypterus senegalus senegalus	NA	NA
Polysteganus undulosus	100	NA
Pomacanthus paru	NA	NA
Pomacentrus moluccensis	NA	NA
Pomacentrus wardi	NA	NA
Pomadasys argenteus	58	NA
Pomadasys argyreus	NA	NA
Pomadasys commersonnii	80	NA
Pomadasys jubelini	NA	NA
Pomadasys kaakan	NA	NA
Pomadasys maculatus	59	NA
Pomadasys opercularis	NA	NA
Pomadasys striatus	15	NA
Pomatomus saltator	103	9
Pomatoschistus microps	NA	NA
Pomatoschistus minutus	NA	2
Pomoxis nigromaculatus	NA	NA
Potamalosa richmondia	NA	NA
Priacanthus arenatus	NA	NA
Priacanthus hamrur	34.1	NA
Priacanthus macracanthus	28	NA
Priacanthus tayenus	NA	NA
Prionace glauca	295.75	NA
Prionotus stephanophrys	NA	NA
Pristipomoides auricilla	NA	NA
Pristipomoides filamentosus	74.75	18
Pristipomoides flavipinnis	NA	NA
Pristipomoides multidens	63.75	NA
Pristipomoides sieboldii	NA	NA
Pristipomoides typus	47	NA
Pristipomoides zonatus	NA	NA
Prochilodus magdalenae	50	NA
Prochilodus nigricans	42	NA
Prochilodus reticulatus	NA	NA
Prosopium williamsoni	NA	NA
Protonibea diacanthus	122	NA
Prototroctes maraena	NA	NA
Psettodes erumei	53.6666666666667	NA
Pseudanthias squamipinnis	NA	NA
Pseudobalistes flavimarginatus	NA	NA
Pseudobarbus afer	10.2	NA
Pseudobarbus asper	11.7	NA
Pseudocaranx dentex	89.3333333333333	NA
Pseudochaenichthys georgianus	NA	NA
Pseudocrenilabrus philander philander	8	NA
Pseudocyttus maculatus	NA	NA
Pseudophycis bachus	NA	NA
Pseudoplatystoma fasciatum	100	NA
Pseudoplatystoma tigrinum	130	NA
Pseudopleuronectes americanus	39.6666666666667	10
Pseudopleuronectes herzensteini	NA	NA
Pseudopleuronectes yokohamae	NA	NA
Pseudorhombus arsius	38	NA
Pseudorhombus cinnamoneus	NA	NA
Pseudorhombus javanicus	NA	NA
Pseudoscaphirhynchus kaufmanni	NA	NA
Pseudotolithus elongatus	45.5	NA
Pseudotolithus senegalensis	61	NA
Pseudotolithus typus	89.3333333333333	NA
Pseudotriakis microdon	NA	NA
Pseudupeneus maculatus	25	NA
Pseudupeneus prayensis	NA	NA
Pterocaesio pisang	NA	NA
Pterogymnus laniarius	45	NA
Pungitius pungitius pungitius	NA	NA
Puntius chola	NA	NA
Puntius dorsalis	NA	NA
Puntius sarana	NA	NA
Pygocentrus nattereri	26.25	NA
Rachycentron canadum	144.666666666667	NA
Raconda russeliana	NA	NA
Raiamas moorii	21	NA
Raja brachyura	113.5	NA
Raja clavata	90	NA
Raja eglanteria	NA	NA
Raja microocellata	NA	NA
Raja miraletus	NA	NA
Raja montagui	68.5	NA
Raja rhina	NA	NA
Rasbora daniconius	NA	NA
Rastrelliger brachysoma	25.5	2
Rastrelliger faughni	NA	NA
Rastrelliger kanagurta	30	NA
Rastrineobola argentea	NA	NA
Reinhardtius hippoglossoides	NA	NA
Retropinna semoni	NA	NA
Rexea solandri	104	NA
Rhabdamia gracilis	NA	NA
Rhabdosargus globiceps	50	NA
Rhincodon typus	NA	NA
Rhizoprionodon acutus	98.5	NA
Rhizoprionodon taylori	73.75	NA
Rhizoprionodon terraenovae	NA	NA
Rhodeus ocellatus ocellatus	NA	NA
Rhomboplites aurorubens	NA	NA
Rhombosolea plebeia	NA	NA
Rhynchorhamphus georgii	NA	NA
Roncador stearnsii	NA	NA
Rondeletia loricata	NA	NA
Rudarius ercodes	6.6	NA
Rutilus lemmingii	NA	NA
Rutilus rutilus	NA	NA
Sagamichthys abei	NA	NA
Salaria pavo	NA	NA
Salmo salar	NA	5.5
Salmo trutta trutta	69.6666666666667	8
Salvelinus alpinus	NA	24
Salvelinus namaycush	NA	25
Sander lucioperca	NA	NA
Sarda chiliensis chiliensis	79	NA
Sarda chiliensis lineolata	96.5	NA
Sarda orientalis	87.75	NA
Sarda sarda	82.525	NA
Sardina pilchardus	19.85	8
Sardinella albella	16	NA
Sardinella aurita	32.3333333333333	7
Sardinella brasiliensis	NA	NA
Sardinella fimbriata	18	NA
Sardinella gibbosa	21	NA
Sardinella lemuru	19.5	NA
Sardinella longiceps	22	4
Sardinella maderensis	24	NA
Sardinella melanura	21	NA
Sardinops sagax	30	13
Sargocentron diadema	NA	NA
Sargocentron microstoma	NA	NA
Sarotherodon galilaeus galilaeus	NA	NA
Sarotherodon melanotheron melanotheron	25	NA
Saurida elongata	NA	NA
Saurida longimanus	NA	NA
Saurida micropectoralis	NA	NA
Saurida tumbil	60	7
Saurida undosquamis	49.5	NA
Scarus coeruleus	NA	NA
Scarus frenatus	NA	NA
Scarus guacamaia	NA	NA
Scarus niger	NA	NA
Scarus psittacus	NA	NA
Scarus schlegeli	NA	NA
Scarus vetula	50	NA
Scatophagus argus	NA	NA
Schilbe intermedius	NA	NA
Schilbe mystus	33.05	NA
Schilbe uranoscopus	29.5	NA
Sciadeops troschelii	NA	NA
Sciaena umbra	NA	NA
Sciaenops ocellatus	NA	NA
Scoliodon laticaudus	NA	NA
Scolopsis lineatus	NA	NA
Scomber australasicus	NA	NA
Scomber japonicus	52	9
Scomberoides lysan	NA	NA
Scomberomorus brasiliensis	125	NA
Scomberomorus cavalla	159.333333333333	14
Scomberomorus commerson	211	NA
Scomberomorus guttatus	70	NA
Scomberomorus lineolatus	96	NA
Scomberomorus maculatus	80	NA
Scomberomorus niphonius	NA	NA
Scomberomorus regalis	NA	NA
Scomberomorus tritor	NA	NA
Scomber scombrus	50	NA
Scombrops boops	99	NA
Scombrops gilberti	66	NA
Scopelengys tristis	20	NA
Scopelosaurus harryi	NA	NA
Scophthalmus aquosus	NA	NA
Scophthalmus maximus	NA	NA
Scophthalmus rhombus	NA	NA
Scorpaena guttata	NA	NA
Scorpaena porcus	27.25	NA
Scorpaena scrofa	NA	NA
Scorpaenichthys marmoratus	NA	NA
Scyliorhinus canicula	56.5	NA
Sebastes alutus	41	72
Sebastes caurinus	NA	NA
Sebastes emphaeus	17.8	13
Sebastes flavidus	NA	NA
Sebastes goodei	NA	NA
Sebastes inermis	NA	NA
Sebastes jordani	NA	NA
Sebastes marinus	NA	NA
Sebastes melanops	NA	NA
Sebastes mentella	NA	NA
Sebastes mystinus	NA	NA
Sebastes pachycephalus	NA	NA
Sebastes paucispinis	NA	NA
Sebastes polyspinis	NA	NA
Sebastes viviparus	NA	NA
Sebastiscus marmoratus	NA	NA
Secutor insidiator	NA	NA
Secutor ruconius	NA	NA
Selar boops	NA	NA
Selar crumenophthalmus	NA	NA
Selaroides leptolepis	19	NA
Selene dorsalis	NA	NA
Seriola dumerili	NA	NA
Seriola lalandi	200	NA
Seriola quinqueradiata	NA	NA
Seriolella brama	76	NA
Serranochromis angusticeps	NA	NA
Serranochromis codringtonii	39	NA
Serranochromis mellandi	NA	NA
Serranochromis robustus robustus	NA	NA
Serranus cabrilla	NA	NA
Serranus scriba	NA	NA
Serranus subligarius	NA	NA
Serrivomer sector	NA	NA
Setipinna taty	NA	NA
Siganus argenteus	NA	NA
Siganus canaliculatus	NA	NA
Siganus fuscescens	NA	NA
Siganus lineatus	NA	NA
Siganus rivulatus	40	NA
Siganus sutor	NA	NA
Siganus vermiculatus	NA	NA
Sillaginopsis panijus	NA	NA
Sillago bassensis	NA	NA
Sillago ciliata	50	NA
Sillago robusta	NA	NA
Sillago schomburgkii	NA	NA
Sillago sihama	NA	NA
Silurus glanis	500	NA
Siniperca chuatsi	NA	NA
Solea solea	35	NA
Sparidentex hasta	83	NA
Sparisoma aurofrenatum	NA	NA
Sparisoma chrysopterum	NA	NA
Sparisoma cretense	NA	NA
Sparisoma rubripinne	NA	NA
Sparisoma viride	53	NA
Sparodon durbanensis	120	NA
Sparus auratus	NA	11
Sperata aor	62	NA
Sphoeroides maculatus	NA	NA
Sphoeroides testudineus	30	NA
Sphyraena argentea	NA	NA
Sphyraena barracuda	180	NA
Sphyraena jello	139	NA
Sphyraena obtusata	39	NA
Sphyraena putnamae	NA	NA
Sphyrna lewini	301	NA
Sphyrna tiburo	124	NA
Spicara maena	15.75	NA
Spicara smaris	18.5	NA
Spinachia spinachia	16	NA
Spondyliosoma cantharus	NA	NA
Spratelloides delicatulus	NA	NA
Spratelloides gracilis	6	0.5
Spratelloides lewisi	NA	NA
Sprattus fuegensis	17.75	NA
Sprattus sprattus	15	6
Squaliobarbus curriculus	NA	NA
Squalus acanthias	108	NA
Squalus blainville	NA	NA
Squatina californica	152	NA
Stegastes nigricans	NA	NA
Stegastes planifrons	NA	NA
Stenobrachius leucopsarus	NA	NA
Stenotomus chrysops	37	NA
Stizostedion canadense	NA	13
Stizostedion vitreum	NA	NA
Stolephorus commersonii	NA	NA
Stolephorus indicus	NA	NA
Stolephorus insularis	7	NA
Stolephorus nelsoni	NA	NA
Stolephorus tri	NA	NA
Stolothrissa tanganicae	NA	NA
Stomias atriventer	NA	NA
Strangomera bentincki	NA	NA
Symbolophorus californiensis	13	NA
Symphodus cinereus	NA	NA
Symphodus mediterraneus	NA	NA
Symphodus melops	19.5	NA
Symphodus ocellatus	NA	NA
Symphodus roissali	NA	NA
Symphodus rostratus	NA	NA
Symphodus tinca	NA	NA
Symphorus nematophorus	NA	NA
Symphurus ligulatus	NA	NA
Synaptura kleinii	35.5	NA
Syngnathus rostellatus	19	NA
Syngnathus typhle	NA	NA
Synodontis batensoda	NA	NA
Synodontis budgetti	40	NA
Synodontis gambiensis	NA	NA
Synodontis membranaceus	NA	NA
Synodontis nigromaculatus	NA	NA
Synodontis resupinatus	NA	NA
Synodontis schall	35	NA
Tandanus tandanus	NA	NA
Taurulus bubalis	15	NA
Tautoga onitis	75.5	NA
Tautogolabrus adspersus	NA	NA
Tenualosa ilisha	NA	NA
Tenualosa reevesii	NA	NA
Tenualosa toli	NA	NA
Terapon theraps	NA	NA
Tetragonurus cuvieri	NA	NA
Tetrapturus albidus	NA	NA
Tetrapturus audax	307.5	NA
Theragra chalcogramma	NA	10
Thryssa hamiltonii	NA	NA
Thryssa mystax	20.5	NA
Thryssa vitrirostris	20	NA
Thunnus alalunga	127.4	NA
Thunnus albacares	182.5	5
Thunnus atlanticus	100	NA
Thunnus maccoyii	212.666666666667	20
Thunnus obesus	220.25	NA
Thunnus thynnus	302	NA
Thunnus tonggol	136	NA
Thymallus arcticus arcticus	52.8	NA
Thymallus brevirostris	NA	NA
Thymallus thymallus	NA	NA
Thyrsites atun	110	NA
Tilapia brevimanus	NA	NA
Tilapia guineensis	32	NA
Tilapia mariae	NA	NA
Tilapia rendalli	39	NA
Tilapia sparrmanii	NA	NA
Tilapia zillii	26	NA
Tinca tinca	NA	NA
Torpedo torpedo	NA	NA
Tor putitora	NA	NA
Totoaba macdonaldi	NA	15
Trachinocephalus myops	NA	NA
Trachurus capensis	NA	NA
Trachurus declivis	51	NA
Trachurus indicus	26.5	NA
Trachurus japonicus	31.7	6
Trachurus mediterraneus	26	NA
Trachurus murphyi	63	NA
Trachurus novaezelandiae	NA	NA
Trachurus symmetricus	60	NA
Trachurus trachurus	47.75	NA
Trachurus trecae	NA	NA
Trachyrincus scabrus	NA	NA
Trematomus bernacchii	21.5	NA
Trematomus hansoni	NA	NA
Triacanthus biaculeatus	NA	NA
Triakis semifasciata	136	NA
Trichiurus lepturus	166.75	NA
Trigla lyra	NA	NA
Trisopterus esmarkii	21	NA
Trisopterus luscus	NA	NA
Trisopterus minutus	27.5	5
Tristramella simonis intermedia	NA	NA
Tristramella simonis simonis	NA	NA
Tylochromis bangwelensis	NA	NA
Tylochromis jentinki	NA	NA
Typhlichthys subterraneus	NA	NA
Ulvaria subbifurcata	15.3	NA
Umbrina canariensis	NA	NA
Umbrina canosai	NA	NA
Umbrina cirrosa	NA	NA
Umbrina ronchus	NA	NA
Upeneus moluccensis	NA	NA
Upeneus sulphureus	NA	NA
Upeneus tragula	NA	NA
Upeneus vittatus	NA	NA
Uraspis helvola	NA	NA
Urobatis halleri	NA	NA
Urophycis chuss	NA	NA
Urophycis tenuis	NA	NA
Valamugil buchanani	NA	NA
Valamugil cunnesius	35	NA
Variola louti	NA	NA
Verasper variegatus	NA	NA
Xeneretmus latifrons	NA	NA
Xenocypris argentea	NA	NA
Xiphias gladius	200	NA
Xyrichtys novacula	NA	NA
Zalieutes elater	NA	NA
Zaniolepis frenata	NA	NA
Zeus faber	62.5	NA
Zoarces americanus	NA	NA
