species	lmax	amax
Centropomus undecimalis	NA	NA
Centropristis striata	NA	NA
Cephalopholis cruentata	33	NA
Cephalopholis fulva	40	NA
Cephalopholis hemistiktos	NA	NA
Cepola macrophthalma	61.1666666666667	6.5
Cetengraulis edentulus	NA	NA
Cetengraulis mysticetus	16.2857142857143	NA
Cetorhinus maximus	942	NA
Cetostoma regani	NA	NA
Chaenocephalus aceratus	61.8333333333333	NA
Chaetodon miliaris	NA	NA
Champsocephalus gunnari	NA	NA
Chasmichthys dolichognathus	NA	NA
Chauliodus macouni	23	NA
Cheilinus undulatus	NA	NA
Cheilopogon atrisignis	NA	NA
Cheilopogon cyanopterus	NA	NA
Cheilopogon nigricans	NA	NA
Cheilotrema saturnum	44.1	NA
Cheimerius nufar	68.5	NA
Chelidonichthys capensis	70	NA
Chelidonichthys cuculus	24	NA
Chelidonichthys gurnardus	36	NA
Chelidonichthys kumu	55	NA
Chelidonichthys lastoviza	30	NA
Chelidonichthys lucerna	56	NA
Chelidonichthys queketti	NA	NA
Chelon labrosus	55	NA
Chilara taylori	NA	NA
Chirocentrus nudus	NA	NA
Chirostoma attenuatum	NA	NA
Chirostoma estor estor	NA	NA
Chirostoma grandocule	12.3	NA
Chirostoma humboldtianum	NA	NA
Chirostoma patzcuaro	NA	NA
Chloroscombrus chrysurus	NA	NA
Chlorurus gibbus	NA	NA
Chlorurus sordidus	NA	NA
Chologaster cornuta	NA	NA
Chondrostoma polylepis	NA	NA
Chromis ternatensis	NA	NA
Chrysichthys auratus auratus	57	NA
Chrysichthys nigrodigitatus	NA	NA
Chrysichthys walkeri	NA	NA
Chrysoblephus cristiceps	NA	NA
Chrysoblephus laticeps	50	NA
Chrysophrys auratus	130	NA
Cirrhinus chinensis	NA	NA
Cirrhinus cirrhosus	87.35	NA
Citharichthys sordidus	NA	NA
Citharinus citharus citharus	NA	NA
Citharus linguatula	NA	NA
Clarias gariepinus	104	NA
Clarias ngamensis	NA	NA
Cleisthenes herzensteini	NA	NA
Clinocottus analis	NA	NA
Clupea harengus	NA	10
Clupea pallasii	45	11.5
Clupeonella cultriventris	NA	NA
Coilia dussumieri	NA	NA
Coilia nasus	31	NA
Coilia reynaldi	NA	NA
Cololabis saira	NA	NA
Colossoma macropomum	NA	NA
Conger conger	180	NA
Contusus richei	NA	NA
Copadichromis likomae	13	NA
Copadichromis mloto	NA	NA
Copadichromis pleurostigmoides	14.4	NA
Copadichromis quadrimaculatus	19	NA
Copadichromis virginalis	12	NA
Coregonus albula	NA	NA
Coregonus artedi	NA	8.5
Coregonus clupeaformis	NA	25.5
Coregonus kiyi	NA	NA
Coregonus lavaretus	NA	NA
Coregonus macrophthalmus	NA	NA
Coregonus nasus	NA	NA
Coregonus oxyrinchus	NA	NA
Coregonus pollan	NA	NA
Coregonus sardinella	NA	11
Coryphaena equiselis	NA	NA
Coryphaena hippurus	166.5	NA
Coryphaenoides guentheri	NA	NA
Coryphaenoides mediterraneus	NA	NA
Coryphaenoides rupestris	NA	NA
Cottus asperrimus	8	5
Cottus beldingii	9	NA
Cottus gobio	NA	5
Ctenochaetus striatus	NA	NA
Ctenolabrus rupestris	NA	NA
Ctenopharyngodon idellus	110	NA
Ctenopharynx intermedius	22	NA
Culter erythropterus	NA	NA
Cycleptus meridionalis	64.75	NA
Cyclopsetta chittendeni	NA	NA
Cyclopterus lumpus	NA	NA
Cyclothone acclinidens	NA	NA
Cyema atrum	NA	NA
Cymatoceps nasutus	110	NA
Cynoglossus arel	NA	NA
Cynoglossus canariensis	NA	NA
Cynoglossus lida	NA	NA
Cynoglossus puncticeps	NA	NA
Cynoglossus semifasciatus	17	NA
Cynoglossus senegalensis	NA	NA
Cynoscion acoupa	NA	NA
Cynoscion analis	NA	NA
Cynoscion jamaicensis	NA	NA
Cynoscion leiarchus	NA	NA
Cynoscion nebulosus	NA	NA
Cynoscion nothus	NA	NA
Cynoscion regalis	NA	NA
Cynoscion stolzmanni	NA	NA
Cynoscion xanthulum	NA	NA
Cyprinus carpio carpio	85	NA
Cypselurus opisthopus	NA	NA
Dactyloptena orientalis	NA	NA
Dasyatis akajei	NA	NA
Dasyatis sabina	NA	NA
Decapterus kurroides	NA	NA
Decapterus macarellus	NA	NA
Decapterus macrosoma	19	NA
Decapterus maruadsi	23	NA
Decapterus punctatus	21	NA
Decapterus russelli	NA	NA
Dendrophysa russelii	NA	NA
Dentex angolensis	37	NA
Dentex canariensis	NA	NA
Dentex congoensis	23	NA
Dentex dentex	NA	NA
Dentex gibbosus	100	NA
Dentex macrophthalmus	34.5	NA
Dentex maroccanus	27	NA
Dentex tumifrons	NA	NA
Diagramma pictum	88.5	NA
Diaphus dumerilii	6	NA
Diapterus peruvianus	NA	NA
Diapterus rhombeus	NA	NA
Dicentrarchus labrax	48.85	NA
Dicentrarchus punctatus	NA	NA
Dichistius capensis	NA	NA
Dicologlossa cuneata	NA	NA
Diplectrum formosum	NA	NA
Diplodus annularis	NA	7
Diplodus bellottii	NA	NA
Diplodus cervinus hottentotus	50	NA
Diplodus sargus capensis	NA	NA
Diplodus sargus sargus	40	NA
Diplodus vulgaris	NA	NA
Dipturus batis	NA	NA
Distichodus rostratus	31.3	NA
Doederleinia berycoides	NA	NA
